step,epoch,loss,eta
33350,30,0.019227,33.17
33400,30,0.007688,31.39
33450,30,0.008440,29.61
33500,30,0.011324,27.84
33550,30,0.026789,26.08
33600,30,0.003297,24.31
33650,30,0.014237,22.54
33700,30,0.013684,20.78
33750,30,0.018198,19.01
33800,30,0.002730,17.25
33850,30,0.011020,15.49
33900,30,0.016353,13.74
33950,30,0.017250,11.98
34000,30,0.004310,10.21
34050,30,0.001850,8.45
34100,30,0.011103,6.69
34150,30,0.004705,4.93
34200,30,0.020806,3.17
34250,30,0.014679,1.41
